iter	RMSE
1562	59241.39883
1563	59233.87037
1564	59224.3855
1565	59222.25812
1566	59203.16193
1567	59200.264
1568	59186.90674
1569	59185.61626
1570	59168.297
1571	59152.37296
1572	59133.91369
1573	59128.95672
1574	59110.32496
1575	59090.27034
1576	59083.50569
1577	59072.70094
1578	59060.23884
1579	59051.17772
1580	59033.33247
1581	59007.8954
1582	59000.87482
1583	58983.35275
1584	58967.85545
1585	58951.53887
1586	58935.25208
1587	58929.20841
1588	58910.53709
1589	58905.15202
1590	58878.90485
1591	58864.4976
1592	58843.5934
1593	58834.03371
1594	58814.24213
1595	58809.95475
1596	58800.26573
1597	58796.21878
1598	58787.25937
1599	58777.23845
1600	58754.49408
1601	58742.96487
1602	58736.42206
1603	58734.80415
1604	58710.40966
1605	58705.80608
1606	58692.76096
1607	58691.17832
1608	58684.49681
1609	58676.4303
1610	58655.36419
1611	58622.06601
1612	58607.03226
1613	58593.40475
1614	58575.04934
1615	58564.79096
1616	58560.42975
1617	58558.85051
1618	58532.48291
1619	58518.04148
1620	58506.593
1621	58491.48416
1622	58477.16052
1623	58464.69646
1624	58453.45184
1625	58442.89453
1626	58434.88929
1627	58430.94636
1628	58406.14817
1629	58388.33967
1630	58373.74479
1631	58371.86905
1632	58361.86802
1633	58354.52556
1634	58349.81466
1635	58336.44122
1636	58325.13145
1637	58310.13196
1638	58294.28267
1639	58269.23634
1640	58257.64417
1641	58246.40442
1642	58245.59993
1643	58242.40752
1644	58220.44124
1645	58215.86943
1646	58211.20512
1647	58200.50216
1648	58191.23418
1649	58180.8861
1650	58173.37141
1651	58157.40988
1652	58156.81448
1653	58149.68251
1654	58134.00046
1655	58119.25265
1656	58116.66261
1657	58106.17844
1658	58099.62287
1659	58092.38894
1660	58081.63864
1661	58058.11737
1662	58056.05365
